id,description,property_type,bedrooms,bathrooms,commercial,display_address,display_status,latitude,longitude,price,first_visible_date,url,postcode,deliveryPointId,epcGraphs
77469247,4 bedroom detached house for sale,Detached,4,2,False,"Longstomps Avenue, Chelmsford, CM2 9BZ",Sold STC,51.7165,0.46471,695000,2020-02-13T17:10:15Z,/properties/77469247,CM2 9BZ,33709591,
77405526,3 bedroom detached house for sale,Detached,3,1,False,"Hamlet Road, Old Moulsham, Chelmsford",Sold STC,51.728053,0.470405,695000,2021-01-25T18:05:33Z,/properties/77405526,CM2 0EU,29659105,
81704554,3 bedroom detached house for sale,Detached,3,3,False,"Southend Road, Chelmsford",Sold STC,51.69801,0.5268,695000,2020-07-04T15:54:27Z,/properties/81704554,CM2 7TE,,
77879458,5 bedroom detached house for sale,Detached,5,3,False,Howe Green - Fenn Wright Signature,Sold STC,51.69801,0.5268,695000,2020-03-03T10:47:05Z,/properties/77879458,CM2 7TE,,
98037542,4 bedroom detached house for sale,Detached,4,3,False,"7 Chalklands, Chelmsford, Essex, CM2 ",Sold STC,51.69853,0.528467,685000,2020-10-05T09:19:12Z,/properties/98037542,CM2 7TH,,
85854143,4 bedroom semi-detached house for sale,Semi-Detached,4,1,False,"Mildmay Road, Chelmsford, Essex, CM2",Sold STC,51.72722,0.47268,680000,2019-10-23T08:55:13Z,/properties/85854143,CM2 0EA,31808272,
78365820,4 bedroom detached house for sale,Detached,4,3,False,"Acres End, Chelmsford",Sold STC,51.74173,0.44986,675000,2021-02-26T17:53:54Z,/properties/78365820,CM1 2XR,21035707,
68167563,4 bedroom detached house for sale,Detached,4,2,False,"Chalklands, Sandon",Sold STC,51.698234,0.528268,675000,2020-02-07T00:48:12Z,/properties/68167563,CM2 7TH,35873080,
101916086,3 bedroom detached house for sale,Detached,3,2,False,"Ongar Road, Writtle, Chelmsford, Essex, CM1",Sold STC,51.731098,0.424087,675000,2021-01-12T18:54:09Z,/properties/101916086,CM1 3NA,27744391,
70791726,4 bedroom detached house for sale,Detached,4,1,False,"Baddow Road, Chelmsford",Sold STC,51.719791,0.497309,675000,2020-05-29T16:48:50Z,/properties/70791726,CM2 7QL,28843945,
102777710,4 bedroom semi-detached house for sale,Semi-Detached,4,2,False,"Finchley Avenue, Old Moulsham, Chelmsford, CM2",Sold STC,51.723825,0.465061,675000,2021-02-12T10:06:15Z,/properties/102777710,CM2 9BX,34617130,
78463014,5 bedroom detached house for sale,Detached,5,3,False,"Oak Lodge Tye, Springfield, Chelmsford",Sold STC,51.752617,0.505856,675000,2021-03-01T17:19:20Z,/properties/78463014,CM1 6GZ,26307835,
86017243,4 bedroom detached house for sale,Detached,4,2,False,"Acres End, Chelmsford, CM1",Sold STC,51.741775,0.450017,670000,2020-10-22T16:51:49Z,/properties/86017243,CM1 2XR,21035710,
86933890,5 bedroom detached house for sale,Detached,5,2,False,"Vicarage Lane, Great Baddow, Chelmsford, CM2",Sold STC,51.713494,0.50156,665000,2020-11-19T15:14:20Z,/properties/86933890,CM2 8JA,32777950,
88701613,4 bedroom semi-detached house for sale,Semi-Detached,4,2,False,"Chelmerton Avenue, Chelmsford, Essex",Sold STC,51.719269,0.491642,665000,2021-01-30T15:02:44Z,/properties/88701613,CM2 9RF,33423886,
95654072,4 bedroom detached house for sale,Detached,4,2,False,"Tabors Avenue, Chelmsford, CM2",Sold STC,51.72041,0.500986,650000,2020-08-04T13:01:54Z,/properties/95654072,CM2 7ES,33424174,
83842783,4 bedroom detached house for sale,Detached,4,2,False,"Bramley Place, Great Baddow , Chelmsford, CM2",Sold STC,51.718688,0.487788,650000,2020-08-21T10:32:21Z,/properties/83842783,CM2 9TF,22644493,
98196944,4 bedroom detached house for sale,Detached,4,2,False,"Havisham Way, Newlands Springs, CHELMSFORD",Sold STC,51.75665,0.447638,650000,2020-10-09T14:55:03Z,/properties/98196944,CM1 4UY,22480324,
96009626,5 bedroom house for sale,House,5,2,False,"Baddow Road, Chelmsford",Sold STC,51.719135,0.498284,650000,2020-08-12T09:25:34Z,/properties/96009626,CM2 7QL,28843951,
86419939,4 bedroom detached house for sale,Detached,4,2,False,"Britten Crescent, Chelmsford, CM2 7EP",Sold STC,51.72128,0.49842,650000,2020-11-04T16:46:13Z,/properties/86419939,CM2 7EP,21995134,
65242767,4 bedroom semi-detached house for sale,Semi-Detached,4,3,False,"Highfield Road, Chelmsford",Sold STC,51.74421,0.4471,650000,2019-09-21T12:15:02Z,/properties/65242767,CM1 2NG,,
99460529,4 bedroom house for sale,House,4,3,False,"Vicarage Road, Chelmsford, CM2",Sold STC,51.723492,0.4672,650000,2020-11-04T11:42:31Z,/properties/99460529,CM2 9BS,31116529,
71766612,4 bedroom detached house for sale,Detached,4,3,False,"Humber Road, Chelmsford, Essex, CM1",Sold STC,51.747528,0.480784,650000,2020-07-10T12:22:08Z,/properties/71766612,CM1 7PG,27538549,
101911637,4 bedroom link detached house for sale,Link Detached House,4,2,False,"Martingale Drive, Springfield, Chelmsford",Sold STC,51.756084,0.501826,650000,2021-01-12T17:48:27Z,/properties/101911637,CM1 6FN,19687480,
85975445,4 bedroom semi-detached house for sale,Semi-Detached,4,,False,"Longstomps Avenue, Chelmsford",Sold STC,51.71963,0.4656,650000,2019-10-25T15:14:19Z,/properties/85975445,CM2 9BY,33709558,https://media.rightmove.co.uk/77k/76437/85975445/76437_LONGSTMP_EPC_00_0000.pdf
83567695,4 bedroom detached house for sale,Detached,4,3,False,"The Bringey, Great Baddow, Chelmsford, CM2",Sold STC,51.714463,0.506714,650000,2020-08-15T16:23:59Z,/properties/83567695,CM2 7QY,,
74142069,4 bedroom detached house for sale,Detached,4,2,False,"Mayes Lane, Sandon, CM2",Sold STC,51.710119,0.537562,650000,2020-10-12T15:52:03Z,/properties/74142069,CM2 7RP,33145612,
87095269,4 bedroom semi-detached house for sale,Semi-Detached,4,2,False,"Beehive Lane, Chelmsford, Essex, CM2",Sold STC,51.71452,0.48198,650000,2020-11-25T10:17:00Z,/properties/87095269,CM2 9SH,33325183,
